PDB_File,CDRH1,CDRH2,CDRH3,CDRL1,CDRL2,CDRL3
AF3_rank0.pdb,93.92969696969695,91.42392857142859,84.97677419354837,88.54699999999994,94.46545454545453,93.42301369863016
AF3_rank1.pdb,94.29409090909091,91.36928571428572,86.7788172,89.47677777777781,95.06181818181818,93.91986301369863
AF3_rank2.pdb,93.88848484848488,91.13249999999998,85.17827956989247,88.29544444444443,94.51227272727274,93.39671232876715
AF3_rank3.pdb,93.99893939393938,91.56553571,86.36397849462367,89.20811111,94.90272727272726,93.89260273972602
AF3_rank4.pdb,93.90515151515153,91.34303571,85.20311827956985,88.34133333333332,94.39409091,93.49972602739723
S11-t231-rank3-energyminimized-AF2rank.pdb,94.23469696969698,94.95749999999994,92.33688172043007,95.02588888888883,96.90227273,95.50931506849305
S11-t231-rank3-energyminimized.pdb,15,15,15,15,15,15
T231_CFv2dropoutnotemplateseed4rec9_f0f76_relaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb,94.08508197,93.22392523,89.19763005780345,91.29028735632173,95.22775510204085,92.83664233576624
T231_CFv2dropoutnotemplateseed4rec9_f0f76_relaxed_rank_002_alphafold2_multimer_v2_model_1_seed_002.pdb,93.84655737704942,93.01551401869166,89.09982658959555,91.96551724137923,95.43510204081632,93.18788321
T231_CFv2dropoutnotemplateseed4rec9_f0f76_relaxed_rank_003_alphafold2_multimer_v2_model_5_seed_002.pdb,93.66270492,92.88514018691575,88.90485549132967,91.62241379,95.34816327,93.00693430656938
T231_CFv2dropoutnotemplateseed4rec9_f0f76_relaxed_rank_004_alphafold2_multimer_v2_model_5_seed_000.pdb,93.87278688524576,93.52009345794389,88.61439306,91.23816091954029,95.10204081632654,92.65897810218974
T231_CFv2dropoutnotemplateseed4rec9_f0f76_relaxed_rank_005_alphafold2_multimer_v2_model_3_seed_000.pdb,93.44803278688529,93.69429906542044,88.80364161849702,90.67793103448292,95.06285714,91.89182481751834
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_001_alphafold2_multimer_v2_model_1_seed_000.pdb,94.12621212121205,93.14589285714281,89.21623655913984,91.23866666666666,95.36863636363636,92.91260274
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_002_alphafold2_multimer_v2_model_1_seed_002.pdb,93.87681818,92.92607142857146,89.11473118279557,91.89655555555548,95.55863636363637,93.26945205479453
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_003_alphafold2_multimer_v2_model_5_seed_002.pdb,93.69454545454548,92.77089286,88.90225806451599,91.53077777777784,95.48227272727273,93.08095890410965
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_004_alphafold2_multimer_v2_model_5_seed_000.pdb,93.90803030303033,93.43178571428572,88.62376344086022,91.16977777777782,95.25818182,92.73657534246568
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_005_alphafold2_multimer_v2_model_3_seed_000.pdb,93.47651515,93.61142857142863,88.80021505,90.63433333333322,95.19454545454549,91.94684931506855
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_006_alphafold2_multimer_v2_model_3_seed_002.pdb,93.41409090909094,92.49625000000005,87.98505376344099,90.77444444,94.70636363636366,92.49424657534247
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_007_alphafold2_multimer_v2_model_2_seed_002.pdb,93.67106060606055,93.05285714285715,88.63139785,91.07211111111116,95.43545454545456,92.76945205479453
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_008_alphafold2_multimer_v2_model_5_seed_003.pdb,93.52000000000005,93.38392857142858,88.51107526881721,91.27933333333328,95.44090909,92.98082191780821
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_009_alphafold2_multimer_v2_model_1_seed_003.pdb,93.27015151515151,93.45,89.0183871,91.00488889,95.20318181818185,92.25958904109604
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_010_alphafold2_multimer_v2_model_2_seed_003.pdb,93.03727272727272,93.09017857142854,88.06956989247307,90.79644444444448,95.28545454545451,92.59534246575342
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_011_alphafold2_multimer_v2_model_4_seed_000.pdb,93.40560606060612,93.58410714285715,87.09397849462364,90.61877778,94.56818181818181,91.99958904109596
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_012_alphafold2_multimer_v2_model_4_seed_002.pdb,93.42181818181828,92.87053571,88.43107526881728,91.23855555555551,95.13227272727273,92.59808219178088
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_013_alphafold2_multimer_v2_model_5_seed_001.pdb,93,93.76714286,89.90666666666662,91.15100000000008,95.65409090909088,92.56452054794514
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_014_alphafold2_multimer_v2_model_1_seed_001.pdb,92.98000000000005,92.97928571428577,89.73419354838722,90.94611111111122,95.38636363636364,92.24328767123295
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_015_alphafold2_multimer_v2_model_4_seed_003.pdb,92.94136363636366,93.46785714285711,88.24043010752689,91.27299999999998,95.26590909090909,92.91424657534253
T231_CFv2dropoutnotemplateseed4rec9_f0f76_unrelaxed_rank_016_alphafold2_multimer_v2_model_3_seed_001.pdb,92.98045454545455,93.49946428571425,89.41946236559146,90.50900000000009,95.19681818,91.65424657534255
